# 湖北电信 IP速度测试结果 - 有效IP 11/12
# 测试时间: 2026-04-04 02:44:54
# IP:端口 速度 连接时间(ms)
58.19.32.207:4022 104.2KB/s (ping:187ms)
171.83.2.139:1234 99.2KB/s (ping:221ms)
219.139.231.160:10001 98.7KB/s (ping:224ms)
221.232.243.168:40000 97.6KB/s (ping:198ms)
27.21.30.178:8888 95.4KB/s (ping:237ms)
221.233.98.90:88 94.6KB/s (ping:225ms)
119.98.123.82:8888 90.3KB/s (ping:216ms)
27.17.213.212:8888 55.3KB/s (ping:221ms)
221.232.41.214:8888 37.0KB/s (ping:216ms)
27.17.214.13:8888 17.6KB/s (ping:202ms)
221.232.40.13:8888 3.1KB/s (ping:202ms)

# 失败统计 (1个):
# 58.51.51.27:10000 - 不可用
